"Activity","Date (YYYYMMDD)","Set",,"unit",,"unit","Combined","Points"
"Barbell Squat",2013-07-03,1,45,,5,,"45 lb || 5 reps","36"
"Barbell Squat",2013-07-03,2,95,,5,,"95 lb || 5 reps","50"
"Barbell Squat",2013-07-03,3,145,,5,,"145 lb || 5 reps","70"
"Barbell Squat",2013-07-03,4,195,,5,,"195 lb || 5 reps","99"
"Barbell Squat",2013-07-03,5,245,,3,,"245 lb || 3 reps","111"
"Barbell Squat",2013-07-03,6,285,,3,,"285 lb || 3 reps","145"
"Barbell Squat",2013-07-03,7,295,,3,,"295 lb || 3 reps","155"
"Barbell Squat",2013-07-08,1,45,,10,,"45 lb || 10 reps","42"
"Barbell Squat",2013-07-08,2,135,,10,,"135 lb || 10 reps","77"
"Barbell Squat",2013-07-08,3,185,,5,,"185 lb || 5 reps","92"
"Barbell Squat",2013-07-08,4,225,,5,,"225 lb || 5 reps","121"
"Barbell Squat",2013-07-08,5,265,,5,,"265 lb || 5 reps","158"
"Barbell Squat",2013-07-08,6,295,,3,,"295 lb || 3 reps","155"
"Barbell Squat",2013-07-08,7,330,,5,,"330 lb || 5 reps","245"
"Barbell Squat",2013-07-12,1,45,,10,,"45 lb || 10 reps","42"
"Barbell Squat",2013-07-12,2,135,,5,,"135 lb || 5 reps","66"
"Barbell Squat",2013-07-12,3,185,,5,,"185 lb || 5 reps","92"
"Barbell Squat",2013-07-12,4,225,,5,,"225 lb || 5 reps","121"
"Barbell Squat",2013-07-12,5,265,,5,,"265 lb || 5 reps","158"
"Barbell Squat",2013-07-12,6,300,,3,,"300 lb || 3 reps","161"
"Barbell Squat",2013-07-12,7,315,,3,,"315 lb || 3 reps","178"
"Barbell Squat",2013-07-12,8,335,,2,,"335 lb || 2 reps","172"
"Barbell Squat",2013-07-12,9,355,,1,,"355 lb || 1 reps","159"
"Barbell Squat",2013-07-26,201,45,,5,,"45 lb || 5 reps","36"
"Barbell Squat",2013-07-26,202,135,,5,,"135 lb || 5 reps","66"
"Barbell Squat",2013-07-26,203,185,,5,,"185 lb || 5 reps","92"
"Barbell Squat",2013-07-26,204,225,,5,,"225 lb || 5 reps","121"
"Barbell Squat",2013-07-26,205,275,,3,,"275 lb || 3 reps","136"
"Barbell Squat",2013-07-26,206,315,,3,,"315 lb || 3 reps","178"
"Barbell Squat",2013-08-08,1,45,,10,,"45 lb || 10 reps","42"
"Barbell Squat",2013-08-08,2,135,,5,,"135 lb || 5 reps","66"
"Barbell Squat",2013-08-08,3,185,,5,,"185 lb || 5 reps","92"
"Barbell Squat",2013-08-08,4,225,,5,,"225 lb || 5 reps","121"
"Barbell Squat",2013-08-08,5,275,,5,,"275 lb || 5 reps","169"
"Barbell Squat",2013-08-08,6,295,,3,,"295 lb || 3 reps","155"
"Barbell Squat",2013-08-08,7,315,,1,,"315 lb || 1 reps","121"
"Barbell Squat",2013-08-12,1,45,,5,,"45 lb || 5 reps","36"
"Barbell Squat",2013-08-12,2,45,,5,,"45 lb || 5 reps","36"
"Barbell Squat",2013-08-12,3,135,,5,,"135 lb || 5 reps","66"
"Barbell Squat",2013-08-12,4,185,,3,,"185 lb || 3 reps","74"
"Barbell Squat",2013-08-12,5,225,,5,,"225 lb || 5 reps","121"
"Barbell Squat",2013-08-12,6,245,,5,,"245 lb || 5 reps","138"
"Barbell Squat",2013-08-12,7,275,,3,,"275 lb || 3 reps","136"
"Barbell Squat",2013-09-05,1,45,,5,,"45 lb || 5 reps","36"
"Barbell Squat",2013-09-05,2,135,,5,,"135 lb || 5 reps","66"
"Barbell Squat",2013-09-05,3,185,,5,,"185 lb || 5 reps","92"
"Barbell Squat",2013-09-05,4,225,,5,,"225 lb || 5 reps","121"
"Barbell Squat",2013-09-05,5,245,,5,,"245 lb || 5 reps","138"
"Barbell Squat",2013-09-10,201,45,,5,,"45 lb || 5 reps","36"
"Barbell Squat",2013-09-10,202,135,,5,,"135 lb || 5 reps","66"
"Barbell Squat",2013-09-10,203,185,,10,,"185 lb || 10 reps","109"
"Barbell Squat",2013-09-12,1,45,,5,,"45 lb || 5 reps","36"
"Barbell Squat",2013-09-12,2,95,,5,,"95 lb || 5 reps","50"
"Barbell Squat",2013-09-12,3,155,,3,,"155 lb || 3 reps","60"
"Barbell Squat",2013-09-12,4,175,,3,,"175 lb || 3 reps","69"
"Barbell Squat",2013-09-12,5,200,,10,,"200 lb || 10 reps","120"
"Barbell Squat",2013-09-15,1,45,,5,,"45 lb || 5 reps","36"
"Barbell Squat",2013-09-15,2,135,,5,,"135 lb || 5 reps","66"
"Barbell Squat",2013-09-15,3,165,,5,,"165 lb || 5 reps","80"
"Barbell Squat",2013-09-15,4,185,,3,,"185 lb || 3 reps","74"
"Barbell Squat",2013-09-15,5,210,,10,,"210 lb || 10 reps","129"
"Barbell Squat",2013-09-17,1,45,,5,,"45 lb || 5 reps","36"
"Barbell Squat",2013-09-17,2,95,,5,,"95 lb || 5 reps","50"
"Barbell Squat",2013-09-17,3,135,,5,,"135 lb || 5 reps","66"
"Barbell Squat",2013-09-17,4,155,,5,,"155 lb || 5 reps","75"
"Barbell Squat",2013-09-17,5,175,,5,,"175 lb || 5 reps","86"
"Barbell Squat",2013-09-17,6,195,,10,,"195 lb || 10 reps","116"
"Barbell Squat",2013-09-19,1,45,,5,,"45 lb || 5 reps","36"
"Barbell Squat",2013-09-19,2,95,,5,,"95 lb || 5 reps","50"
"Barbell Squat",2013-09-19,3,135,,5,,"135 lb || 5 reps","66"
"Barbell Squat",2013-09-19,4,165,,3,,"165 lb || 3 reps","64"
"Barbell Squat",2013-09-19,5,185,,3,,"185 lb || 3 reps","74"
"Barbell Squat",2013-09-19,6,205,,10,,"205 lb || 10 reps","124"
"Barbell Squat",2013-09-22,1,45,,5,,"45 lb || 5 reps","36"
"Barbell Squat",2013-09-22,2,95,,5,,"95 lb || 5 reps","50"
"Barbell Squat",2013-09-22,3,135,,5,,"135 lb || 5 reps","66"
"Barbell Squat",2013-09-22,4,175,,5,,"175 lb || 5 reps","86"
"Barbell Squat",2013-09-22,5,195,,3,,"195 lb || 3 reps","79"
"Barbell Squat",2013-09-22,6,225,,10,,"225 lb || 10 reps","142"
"Barbell Squat",2013-09-26,1,135,,5,,"135 lb || 5 reps","66"
"Barbell Squat",2013-09-26,2,155,,5,,"155 lb || 5 reps","75"
"Barbell Squat",2013-09-26,3,185,,5,,"185 lb || 5 reps","92"
"Barbell Squat",2013-09-26,4,205,,10,,"205 lb || 10 reps","124"
"Barbell Squat",2013-09-28,1,45,,5,,"45 lb || 5 reps","36"
"Barbell Squat",2013-09-28,2,135,,5,,"135 lb || 5 reps","66"
"Barbell Squat",2013-09-28,3,175,,3,,"175 lb || 3 reps","69"
"Barbell Squat",2013-09-28,4,190,,3,,"190 lb || 3 reps","76"
"Barbell Squat",2013-09-28,5,215,,10,,"215 lb || 10 reps","133"
"Barbell Squat",2013-10-01,301,135,,5,,"135 lb || 5 reps","66"
"Barbell Squat",2013-10-01,302,205,,3,,"205 lb || 3 reps","85"
"Barbell Squat",2013-10-01,303,230,,10,,"230 lb || 10 reps","147"
"Barbell Squat",2013-10-05,401,45,,5,,"45 lb || 5 reps","36"
"Barbell Squat",2013-10-05,402,135,,5,,"135 lb || 5 reps","66"
"Barbell Squat",2013-10-05,403,165,,5,,"165 lb || 5 reps","80"
"Barbell Squat",2013-10-09,1,45,,5,,"45 lb || 5 reps","36"
"Barbell Squat",2013-10-09,2,95,,5,,"95 lb || 5 reps","50"
"Barbell Squat",2013-10-09,3,135,,5,,"135 lb || 5 reps","66"
"Barbell Squat",2013-10-09,4,165,,5,,"165 lb || 5 reps","80"
"Barbell Squat",2013-10-09,5,190,,5,,"190 lb || 5 reps","95"
"Barbell Squat",2013-10-09,6,215,,10,,"215 lb || 10 reps","133"
"Barbell Squat",2013-10-14,1,45,,5,,"45 lb || 5 reps","36"
"Barbell Squat",2013-10-14,2,95,,5,,"95 lb || 5 reps","50"
"Barbell Squat",2013-10-14,3,135,,5,,"135 lb || 5 reps","66"
"Barbell Squat",2013-10-14,4,175,,5,,"175 lb || 5 reps","86"
"Barbell Squat",2013-10-14,5,200,,3,,"200 lb || 3 reps","82"
"Barbell Squat",2013-10-14,6,225,,10,,"225 lb || 10 reps","142"
"Barbell Squat",2013-10-19,1,45,,5,,"45 lb || 5 reps","36"
"Barbell Squat",2013-10-19,2,95,,5,,"95 lb || 5 reps","50"
"Barbell Squat",2013-10-19,3,135,,5,,"135 lb || 5 reps","66"
"Barbell Squat",2013-10-19,4,185,,5,,"185 lb || 5 reps","92"
"Barbell Squat",2013-10-19,5,245,,10,,"245 lb || 10 reps","163"
"Barbell Squat",2013-11-02,1,45,,5,,"45 lb || 5 reps","36"
"Barbell Squat",2013-11-02,2,95,,5,,"95 lb || 5 reps","50"
"Barbell Squat",2013-11-02,3,135,,5,,"135 lb || 5 reps","66"
"Barbell Squat",2013-11-02,4,185,,5,,"185 lb || 5 reps","92"
"Barbell Squat",2013-11-02,5,205,,5,,"205 lb || 5 reps","105"
"Barbell Squat",2013-11-02,6,225,,10,,"225 lb || 10 reps","142"
"Barbell Squat",2013-11-07,1,45,,10,,"45 lb || 10 reps","42"
"Barbell Squat",2013-11-07,2,95,,5,,"95 lb || 5 reps","50"
"Barbell Squat",2013-11-07,3,135,,5,,"135 lb || 5 reps","66"
"Barbell Squat",2013-11-07,4,185,,3,,"185 lb || 3 reps","74"
"Barbell Squat",2013-11-07,5,215,,3,,"215 lb || 3 reps","90"
"Barbell Squat",2013-11-07,6,235,,5,,"235 lb || 5 reps","129"
"Barbell Squat",2013-11-10,1,45,,5,,"45 lb || 5 reps","36"
"Barbell Squat",2013-11-10,2,95,,5,,"95 lb || 5 reps","50"
"Barbell Squat",2013-11-10,3,135,,5,,"135 lb || 5 reps","66"
"Barbell Squat",2013-11-10,4,215,,3,,"215 lb || 3 reps","90"
"Barbell Squat",2013-11-10,5,235,,10,,"235 lb || 10 reps","152"
"Barbell Squat",2013-12-05,1,45,,5,,"45 lb || 5 reps","36"
"Barbell Squat",2013-12-05,2,95,,5,,"95 lb || 5 reps","50"
"Barbell Squat",2013-12-05,3,115,,5,,"115 lb || 5 reps","57"
"Barbell Squat",2013-12-05,4,135,,5,,"135 lb || 5 reps","66"
"Barbell Squat",2013-12-05,5,185,,5,,"185 lb || 5 reps","92"
"Barbell Squat",2013-12-05,6,225,,3,,"225 lb || 3 reps","97"
"Barbell Squat",2013-12-05,7,245,,3,,"245 lb || 3 reps","111"
"Barbell Squat",2013-12-05,8,275,,1,,"275 lb || 1 reps","93"
"Barbell Squat",2013-12-10,24,45,,5,,"45 lb || 5 reps","36"
"Barbell Squat",2013-12-10,25,45,,5,,"45 lb || 5 reps","36"
"Barbell Squat",2013-12-14,11,185,,5,,"185 lb || 5 reps","92"
"Barbell Squat",2013-12-14,12,225,,3,,"225 lb || 3 reps","97"
"Barbell Squat",2013-12-14,13,255,,3,,"255 lb || 3 reps","119"
"Barbell Squat",2013-12-14,14,285,,1,,"285 lb || 1 reps","99"
"Barbell Squat",2013-12-18,2,45,,5,,"45 lb || 5 reps","36"
"Barbell Squat",2013-12-18,3,95,,5,,"95 lb || 5 reps","50"
"Barbell Squat",2013-12-18,4,135,,5,,"135 lb || 5 reps","66"
"Barbell Squat",2013-12-18,5,165,,5,,"165 lb || 5 reps","80"
"Barbell Squat",2013-12-18,6,185,,5,,"185 lb || 5 reps","92"
"Barbell Squat",2013-12-18,7,215,,10,,"215 lb || 10 reps","133"
"Barbell Squat",2013-12-21,22,45,,5,,"45 lb || 5 reps","36"
"Barbell Squat",2013-12-21,23,45,,5,,"45 lb || 5 reps","36"
"Barbell Squat",2013-12-23,1,45,,10,,"45 lb || 10 reps","42"
"Barbell Squat",2013-12-23,2,135,,5,,"135 lb || 5 reps","66"
"Barbell Squat",2013-12-23,3,175,,3,,"175 lb || 3 reps","69"
"Barbell Squat",2013-12-23,4,205,,3,,"205 lb || 3 reps","85"
"Barbell Squat",2013-12-23,5,225,,10,,"225 lb || 10 reps","142"
"Barbell Squat",2014-01-01,1,45,,10,,"45 lb || 10 reps","42"
"Barbell Squat",2014-01-01,2,95,,5,,"95 lb || 5 reps","50"
"Barbell Squat",2014-01-01,3,135,,5,,"135 lb || 5 reps","66"
"Barbell Squat",2014-01-01,4,185,,5,,"185 lb || 5 reps","92"
"Barbell Squat",2014-01-01,5,205,,3,,"205 lb || 3 reps","85"
"Barbell Squat",2014-01-01,6,235,,10,,"235 lb || 10 reps","152"
"Barbell Squat",2014-01-01,7,45,,3,,"45 lb || 3 reps","28"
"Barbell Squat",2014-01-01,8,45,,3,,"45 lb || 3 reps","28"
"Barbell Squat",2014-01-01,9,45,,3,,"45 lb || 3 reps","28"
"Barbell Squat",2014-01-05,1,45,,5,,"45 lb || 5 reps","36"
"Barbell Squat",2014-01-05,2,135,,5,,"135 lb || 5 reps","66"
"Barbell Squat",2014-01-05,3,185,,5,,"185 lb || 5 reps","92"
"Barbell Squat",2014-01-05,4,205,,5,,"205 lb || 5 reps","105"
"Barbell Squat",2014-01-05,5,225,,10,,"225 lb || 10 reps","142"
"Barbell Squat",2014-01-09,2,45,,5,,"45 lb || 5 reps","36"
"Barbell Squat",2014-01-09,3,95,,5,,"95 lb || 5 reps","50"
"Barbell Squat",2014-01-09,4,135,,5,,"135 lb || 5 reps","66"
"Barbell Squat",2014-01-09,5,185,,5,,"185 lb || 5 reps","92"
"Barbell Squat",2014-01-09,6,225,,5,,"225 lb || 5 reps","121"
"Barbell Squat",2014-01-09,7,255,,3,,"255 lb || 3 reps","119"
"Barbell Squat",2014-01-09,8,275,,2,,"275 lb || 2 reps","114"
"Barbell Squat",2014-01-09,9,300,,1,,"300 lb || 1 reps","110"
"Barbell Squat",2014-01-14,1,45,,5,,"45 lb || 5 reps","36"
"Barbell Squat",2014-01-14,2,95,,5,,"95 lb || 5 reps","50"
"Barbell Squat",2014-01-14,3,135,,5,,"135 lb || 5 reps","66"
"Barbell Squat",2014-01-14,4,155,,5,,"155 lb || 5 reps","75"
"Barbell Squat",2014-01-14,5,185,,5,,"185 lb || 5 reps","92"
"Barbell Squat",2014-01-14,6,225,,5,,"225 lb || 5 reps","121"
"Barbell Squat",2014-01-25,20,45,,5,,"45 lb || 5 reps","36"
"Barbell Squat",2014-01-25,21,95,,5,,"95 lb || 5 reps","50"
"Barbell Squat",2014-01-25,22,135,,5,,"135 lb || 5 reps","66"
"Barbell Squat",2014-01-25,23,185,,5,,"185 lb || 5 reps","92"
"Barbell Squat",2014-01-25,24,225,,3,,"225 lb || 3 reps","97"
"Barbell Squat",2014-01-25,25,255,,3,,"255 lb || 3 reps","119"
"Barbell Squat",2014-01-25,26,275,,1,,"275 lb || 1 reps","93"
"Barbell Squat",2014-01-25,27,285,,1,,"285 lb || 1 reps","99"
"Barbell Squat",2014-02-01,3,45,,5,,"45 lb || 5 reps","36"
"Barbell Squat",2014-02-01,4,95,,5,,"95 lb || 5 reps","50"
"Barbell Squat",2014-02-01,5,135,,5,,"135 lb || 5 reps","66"
"Barbell Squat",2014-02-01,6,225,,5,,"225 lb || 5 reps","121"
"Barbell Squat",2014-02-01,7,245,,5,,"245 lb || 5 reps","138"
"Barbell Squat",2014-02-01,8,275,,5,,"275 lb || 5 reps","169"
"Barbell Squat",2014-02-11,5,45,,5,,"45 lb || 5 reps","36"
"Barbell Squat",2014-02-11,6,135,,5,,"135 lb || 5 reps","66"
"Barbell Squat",2014-02-11,7,185,,5,,"185 lb || 5 reps","92"
"Barbell Squat",2014-02-11,8,225,,5,,"225 lb || 5 reps","121"
"Barbell Squat",2014-02-11,9,255,,5,,"255 lb || 5 reps","148"
"Barbell Squat",2014-02-14,2,45,,5,,"45 lb || 5 reps","36"
"Barbell Squat",2014-02-14,3,95,,5,,"95 lb || 5 reps","50"
"Barbell Squat",2014-02-14,4,135,,5,,"135 lb || 5 reps","66"
"Barbell Squat",2014-02-14,5,185,,5,,"185 lb || 5 reps","92"
"Barbell Squat",2014-02-14,6,225,,5,,"225 lb || 5 reps","121"
"Barbell Squat",2014-02-25,4,45,,5,,"45 lb || 5 reps","36"
"Barbell Squat",2014-02-25,5,95,,5,,"95 lb || 5 reps","50"
"Barbell Squat",2014-02-25,6,135,,5,,"135 lb || 5 reps","66"
"Barbell Squat",2014-02-25,7,185,,5,,"185 lb || 5 reps","92"
"Barbell Squat",2014-02-25,8,225,,5,,"225 lb || 5 reps","121"
"Barbell Squat",2014-03-18,2,45,,5,,"45 lb || 5 reps","36"
"Barbell Squat",2014-03-18,3,95,,5,,"95 lb || 5 reps","50"
"Barbell Squat",2014-03-18,4,135,,5,,"135 lb || 5 reps","66"
"Barbell Squat",2014-03-18,5,185,,5,,"185 lb || 5 reps","92"
"Barbell Squat",2014-03-18,6,225,,5,,"225 lb || 5 reps","121"
"Barbell Squat",2014-03-31,2,45,,5,,"45 lb || 5 reps","36"
"Barbell Squat",2014-03-31,3,95,,5,,"95 lb || 5 reps","50"
"Barbell Squat",2014-03-31,4,135,,5,,"135 lb || 5 reps","66"
"Barbell Squat",2014-03-31,5,185,,5,,"185 lb || 5 reps","92"
"Barbell Squat",2014-03-31,6,205,,5,,"205 lb || 5 reps","105"
"Barbell Squat",2014-03-31,7,225,,5,,"225 lb || 5 reps","121"
"Barbell Squat",2014-03-31,8,185,,3,,"185 lb || 3 reps","74"
"Barbell Squat",2014-03-31,9,185,,3,,"185 lb || 3 reps","74"
"Barbell Squat",2014-03-31,10,185,,3,,"185 lb || 3 reps","74"
"Barbell Squat",2014-04-26,2,45,,5,,"45 lb || 5 reps","36"
"Barbell Squat",2014-04-26,3,95,,5,,"95 lb || 5 reps","50"
"Barbell Squat",2014-04-26,4,135,,5,,"135 lb || 5 reps","66"
"Barbell Squat",2014-04-26,5,185,,5,,"185 lb || 5 reps","92"
"Barbell Squat",2014-04-26,6,185,,5,,"185 lb || 5 reps","92"
"Barbell Squat",2014-04-26,7,185,,5,,"185 lb || 5 reps","92"
"Barbell Squat",2014-05-17,4,45,,5,,"45 lb || 5 reps","36"
"Barbell Squat",2014-05-17,5,95,,5,,"95 lb || 5 reps","50"
"Barbell Squat",2014-05-17,6,135,,5,,"135 lb || 5 reps","66"
"Barbell Squat",2014-05-17,7,135,,5,,"135 lb || 5 reps","66"
"Barbell Squat",2014-05-17,8,135,,5,,"135 lb || 5 reps","66"
"Barbell Squat",2014-05-17,9,135,,5,,"135 lb || 5 reps","66"
"Barbell Squat",2014-05-17,10,135,,5,,"135 lb || 5 reps","66"
"Barbell Squat",2014-05-21,2,45,,5,,"45 lb || 5 reps","36"
"Barbell Squat",2014-05-21,3,95,,5,,"95 lb || 5 reps","50"
"Barbell Squat",2014-05-21,4,145,,5,,"145 lb || 5 reps","70"
"Barbell Squat",2014-05-21,5,145,,5,,"145 lb || 5 reps","70"
"Barbell Squat",2014-05-21,6,145,,5,,"145 lb || 5 reps","70"
"Barbell Squat",2014-05-21,7,145,,5,,"145 lb || 5 reps","70"
"Barbell Squat",2014-05-21,8,145,,5,,"145 lb || 5 reps","70"
"Barbell Squat",2014-05-22,2,45,,5,,"45 lb || 5 reps","36"
"Barbell Squat",2014-05-22,3,95,,5,,"95 lb || 5 reps","50"
"Barbell Squat",2014-05-22,4,155,,5,,"155 lb || 5 reps","75"
"Barbell Squat",2014-05-22,5,155,,5,,"155 lb || 5 reps","75"
"Barbell Squat",2014-05-22,6,155,,5,,"155 lb || 5 reps","75"
"Barbell Squat",2014-05-22,7,155,,5,,"155 lb || 5 reps","75"
"Barbell Squat",2014-05-22,8,155,,5,,"155 lb || 5 reps","75"
"Barbell Squat",2014-05-24,5,45,,5,,"45 lb || 5 reps","36"
"Barbell Squat",2014-05-24,6,95,,5,,"95 lb || 5 reps","50"
"Barbell Squat",2014-05-24,7,165,,5,,"165 lb || 5 reps","80"
"Barbell Squat",2014-05-24,8,165,,5,,"165 lb || 5 reps","80"
"Barbell Squat",2014-05-24,9,165,,5,,"165 lb || 5 reps","80"
"Barbell Squat",2014-05-24,10,165,,5,,"165 lb || 5 reps","80"
"Barbell Squat",2014-05-24,11,165,,5,,"165 lb || 5 reps","80"
"Barbell Squat",2014-05-26,3,45,,5,,"45 lb || 5 reps","36"
"Barbell Squat",2014-05-26,4,95,,5,,"95 lb || 5 reps","50"
"Barbell Squat",2014-05-26,5,135,,5,,"135 lb || 5 reps","66"
"Barbell Squat",2014-05-26,6,175,,5,,"175 lb || 5 reps","86"
"Barbell Squat",2014-05-26,7,175,,5,,"175 lb || 5 reps","86"
"Barbell Squat",2014-05-26,8,175,,5,,"175 lb || 5 reps","86"
"Barbell Squat",2014-05-26,9,175,,5,,"175 lb || 5 reps","86"
"Barbell Squat",2014-05-26,10,175,,5,,"175 lb || 5 reps","86"
"Barbell Squat",2014-05-30,1,45,,5,,"45 lb || 5 reps","36"
"Barbell Squat",2014-05-30,2,95,,5,,"95 lb || 5 reps","50"
"Barbell Squat",2014-05-30,3,135,,5,,"135 lb || 5 reps","66"
"Barbell Squat",2014-05-30,4,185,,5,,"185 lb || 5 reps","92"
"Barbell Squat",2014-05-30,5,185,,5,,"185 lb || 5 reps","92"
"Barbell Squat",2014-05-30,6,185,,5,,"185 lb || 5 reps","92"
"Barbell Squat",2014-05-30,7,185,,5,,"185 lb || 5 reps","92"
"Barbell Squat",2014-05-30,8,185,,5,,"185 lb || 5 reps","92"
"Barbell Squat",2014-05-31,6,45,,5,,"45 lb || 5 reps","36"
"Barbell Squat",2014-05-31,7,95,,5,,"95 lb || 5 reps","50"
"Barbell Squat",2014-05-31,8,135,,5,,"135 lb || 5 reps","66"
"Barbell Squat",2014-05-31,9,195,,5,,"195 lb || 5 reps","99"
"Barbell Squat",2014-05-31,10,195,,5,,"195 lb || 5 reps","99"
"Barbell Squat",2014-05-31,11,195,,5,,"195 lb || 5 reps","99"
"Barbell Squat",2014-05-31,12,195,,5,,"195 lb || 5 reps","99"
"Barbell Squat",2014-05-31,13,195,,5,,"195 lb || 5 reps","99"
"Barbell Squat",2014-06-04,16,45,,5,,"45 lb || 5 reps","36"
"Barbell Squat",2014-06-04,17,95,,5,,"95 lb || 5 reps","50"
"Barbell Squat",2014-06-04,18,135,,5,,"135 lb || 5 reps","66"
"Barbell Squat",2014-06-04,19,185,,3,,"185 lb || 3 reps","74"
"Barbell Squat",2014-06-04,20,205,,5,,"205 lb || 5 reps","105"
"Barbell Squat",2014-06-04,21,205,,5,,"205 lb || 5 reps","105"
"Barbell Squat",2014-06-04,22,205,,5,,"205 lb || 5 reps","105"
"Barbell Squat",2014-06-04,23,205,,5,,"205 lb || 5 reps","105"
"Barbell Squat",2014-06-04,24,205,,5,,"205 lb || 5 reps","105"
"Barbell Squat",2014-06-07,2,45,,5,,"45 lb || 5 reps","36"
"Barbell Squat",2014-06-07,3,135,,5,,"135 lb || 5 reps","66"
"Barbell Squat",2014-06-07,4,185,,3,,"185 lb || 3 reps","74"
"Barbell Squat",2014-06-07,5,215,,5,,"215 lb || 5 reps","113"
"Barbell Squat",2014-06-07,6,215,,5,,"215 lb || 5 reps","113"
"Barbell Squat",2014-06-07,7,215,,5,,"215 lb || 5 reps","113"
"Barbell Squat",2014-06-07,8,215,,5,,"215 lb || 5 reps","113"
"Barbell Squat",2014-06-07,9,215,,5,,"215 lb || 5 reps","113"
"Barbell Squat",2014-06-10,4,45,,5,,"45 lb || 5 reps","36"
"Barbell Squat",2014-06-10,5,95,,5,,"95 lb || 5 reps","50"
"Barbell Squat",2014-06-10,6,135,,5,,"135 lb || 5 reps","66"
"Barbell Squat",2014-06-10,7,185,,3,,"185 lb || 3 reps","74"
"Barbell Squat",2014-06-10,8,225,,5,,"225 lb || 5 reps","121"
"Barbell Squat",2014-06-10,9,225,,5,,"225 lb || 5 reps","121"
"Barbell Squat",2014-06-10,10,225,,5,,"225 lb || 5 reps","121"
"Barbell Squat",2014-06-10,11,225,,5,,"225 lb || 5 reps","121"
"Barbell Squat",2014-06-10,12,225,,5,,"225 lb || 5 reps","121"
"Barbell Squat",2014-06-14,6,45,,5,,"45 lb || 5 reps","36"
"Barbell Squat",2014-06-14,7,135,,5,,"135 lb || 5 reps","66"
"Barbell Squat",2014-06-14,8,185,,3,,"185 lb || 3 reps","74"
"Barbell Squat",2014-06-14,9,235,,5,,"235 lb || 5 reps","129"
"Barbell Squat",2014-06-14,10,235,,5,,"235 lb || 5 reps","129"
"Barbell Squat",2014-06-14,11,235,,5,,"235 lb || 5 reps","129"
"Barbell Squat",2014-06-21,19,45,,5,,"45 lb || 5 reps","36"
"Barbell Squat",2014-06-21,20,135,,5,,"135 lb || 5 reps","66"
"Barbell Squat",2014-06-21,21,185,,3,,"185 lb || 3 reps","74"
"Barbell Squat",2014-06-21,22,230,,5,,"230 lb || 5 reps","125"
"Barbell Squat",2014-06-21,23,230,,5,,"230 lb || 5 reps","125"
"Barbell Squat",2014-06-21,24,230,,5,,"230 lb || 5 reps","125"
"Barbell Squat",2014-06-24,9,45,,5,,"45 lb || 5 reps","36"
"Barbell Squat",2014-06-24,10,95,,5,,"95 lb || 5 reps","50"
"Barbell Squat",2014-06-24,11,135,,5,,"135 lb || 5 reps","66"
"Barbell Squat",2014-06-24,12,185,,3,,"185 lb || 3 reps","74"
"Barbell Squat",2014-06-24,13,235,,5,,"235 lb || 5 reps","129"
"Barbell Squat",2014-06-24,14,235,,5,,"235 lb || 5 reps","129"
"Barbell Squat",2014-06-24,15,235,,5,,"235 lb || 5 reps","129"
"Barbell Squat",2014-06-24,16,235,,5,,"235 lb || 5 reps","129"
"Barbell Squat",2014-06-24,17,235,,5,,"235 lb || 5 reps","129"
"Barbell Squat",2014-08-13,1,45,,5,,"45 lb || 5 reps","36"
"Barbell Squat",2014-08-13,2,45,,5,,"45 lb || 5 reps","36"
"Barbell Squat",2014-08-13,3,95,,5,,"95 lb || 5 reps","50"
"Barbell Squat",2014-08-13,4,135,,5,,"135 lb || 5 reps","66"
"Barbell Squat",2014-08-13,5,185,,5,,"185 lb || 5 reps","92"
"Barbell Squat",2014-08-13,6,225,,5,,"225 lb || 5 reps","121"
"Barbell Squat",2014-08-16,6,45,,5,,"45 lb || 5 reps","36"
"Barbell Squat",2014-08-16,7,95,,5,,"95 lb || 5 reps","50"
"Barbell Squat",2014-08-16,8,135,,5,,"135 lb || 5 reps","66"
"Barbell Squat",2014-08-16,9,185,,5,,"185 lb || 5 reps","92"
"Barbell Squat",2014-08-16,10,185,,5,,"185 lb || 5 reps","92"
"Barbell Squat",2014-08-16,11,185,,5,,"185 lb || 5 reps","92"
"Barbell Squat",2014-08-19,2,45,,5,,"45 lb || 5 reps","36"
"Barbell Squat",2014-08-19,3,95,,5,,"95 lb || 5 reps","50"
"Barbell Squat",2014-08-19,4,135,,5,,"135 lb || 5 reps","66"
"Barbell Squat",2014-08-19,5,185,,5,,"185 lb || 5 reps","92"
"Barbell Squat",2014-08-19,6,225,,3,,"225 lb || 3 reps","97"
"Barbell Squat",2014-08-19,7,245,,2,,"245 lb || 2 reps","93"
"Barbell Squat",2014-08-19,8,275,,1,,"275 lb || 1 reps","93"
"Barbell Squat",2014-08-20,3,45,,5,,"45 lb || 5 reps","36"
"Barbell Squat",2014-08-20,4,95,,5,,"95 lb || 5 reps","50"
"Barbell Squat",2014-08-20,5,135,,5,,"135 lb || 5 reps","66"
"Barbell Squat",2014-08-20,6,185,,5,,"185 lb || 5 reps","92"
"Barbell Squat",2014-08-20,7,185,,5,,"185 lb || 5 reps","92"
"Barbell Squat",2014-08-20,8,185,,5,,"185 lb || 5 reps","92"
"Barbell Squat",2014-08-20,9,185,,5,,"185 lb || 5 reps","92"
