"Activity","Date (YYYYMMDD)","Set",,"unit",,"unit","Combined","Points"
"Barbell Squat",2012-08-24,5,255,,1,,"255 lb || 1 reps","81"
"Barbell Squat",2012-08-24,6,245,,3,,"245 lb || 3 reps","111"
"Barbell Squat",2012-08-24,7,245,,3,,"245 lb || 3 reps","111"
"Barbell Squat",2012-09-07,1,45,,5,,"45 lb || 5 reps","36"
"Barbell Squat",2012-09-07,2,95,,5,,"95 lb || 5 reps","50"
"Barbell Squat",2012-09-07,3,135,,5,,"135 lb || 5 reps","66"
"Barbell Squat",2012-09-07,4,185,,5,,"185 lb || 5 reps","92"
"Barbell Squat",2012-09-07,5,225,,5,,"225 lb || 5 reps","121"
"Barbell Squat",2012-09-07,6,245,,3,,"245 lb || 3 reps","111"
"Barbell Squat",2012-09-07,7,255,,1,,"255 lb || 1 reps","81"
"Barbell Squat",2012-09-13,1,45,,5,,"45 lb || 5 reps","36"
"Barbell Squat",2012-09-13,2,95,,5,,"95 lb || 5 reps","50"
"Barbell Squat",2012-09-13,3,135,,5,,"135 lb || 5 reps","66"
"Barbell Squat",2012-09-13,4,185,,3,,"185 lb || 3 reps","74"
"Barbell Squat",2012-09-13,5,225,,5,,"225 lb || 5 reps","121"
"Barbell Squat",2012-09-13,6,225,,5,,"225 lb || 5 reps","121"
"Barbell Squat",2012-09-13,7,245,,5,,"245 lb || 5 reps","138"
"Barbell Squat",2012-09-14,201,45,,5,,"45 lb || 5 reps","36"
"Barbell Squat",2012-09-14,202,95,,5,,"95 lb || 5 reps","50"
"Barbell Squat",2012-09-14,203,135,,5,,"135 lb || 5 reps","66"
"Barbell Squat",2012-09-14,204,185,,5,,"185 lb || 5 reps","92"
"Barbell Squat",2012-09-17,1,45,,5,,"45 lb || 5 reps","36"
"Barbell Squat",2012-09-17,2,95,,5,,"95 lb || 5 reps","50"
"Barbell Squat",2012-09-17,3,135,,3,,"135 lb || 3 reps","53"
